timestamp,position,predicted,actual,return
2024-06-03 11:00:00,1,69327.9499181717,69659.44,0.00869707754967758
2024-06-03 12:00:00,1,69933.89884073244,69769.25,0.001576383617209637
2024-06-03 13:00:00,-1,68347.05482131471,68722.96,0.014996434675734562
2024-06-03 14:00:00,1,69935.53495164959,69568.97,0.012310441808676383
2024-06-03 15:00:00,-1,68513.30753520559,68966.26,0.00866348890892026
2024-06-03 16:00:00,1,69069.46888492453,69254.8,0.004183784940636308
2024-06-03 17:00:00,-1,69022.93264171823,69245.94,0.00012793337068334008
2024-06-03 18:00:00,-1,69063.60820669957,69113.03,0.001919390508671028
2024-06-03 19:00:00,-1,68997.91212047101,69169.61,-0.0008186589417364822
2024-06-03 20:00:00,1,69410.9077835181,69099.72,-0.0010104148339133243
2024-06-03 21:00:00,1,69364.90489394314,69063.32,-0.0005267749275973068
2024-06-03 22:00:00,-1,68703.61521392384,68824.27,0.003461316368804785
2024-06-03 23:00:00,1,68993.94156564494,68992.29,0.0024412899693667584
2024-06-04 00:00:00,1,69222.65399826839,69151.65,0.0023098233150399936
2024-06-04 01:00:00,-1,68854.70015200386,69089.87,0.0008933987836877188
2024-06-04 02:00:00,1,69121.56313188042,69199.96,0.001593431859113515
2024-06-04 03:00:00,-1,68970.47351854143,69090.0,0.0015890182595482193
2024-06-04 04:00:00,-1,68888.58893882464,68956.76,0.0019284990591982231
2024-06-04 05:00:00,1,69180.1894404125,68964.74,0.00011572469472188772
2024-06-04 06:00:00,-1,68809.6268412757,69080.35,-0.0016763638926210781
2024-06-04 07:00:00,1,69151.0151259783,68868.53,-0.0030662844064919615
2024-06-04 08:00:00,1,69278.88542107385,68680.04,-0.002736954019491998
2024-06-04 09:00:00,-1,68630.88203330309,68906.36,-0.0032952805502152738
2024-06-04 10:00:00,-1,68801.19847211191,68974.89,-0.0009945380948870152
2024-06-04 11:00:00,1,69223.82842541463,68934.77,-0.0005816609493686086
2024-06-04 12:00:00,1,69217.28964000623,69608.46,0.009772862083967238
2024-06-04 13:00:00,-1,69420.981903495,69601.84,9.510338254875765e-05
2024-06-04 14:00:00,1,70458.58572015444,70382.28,0.011212921957235647
2024-06-04 15:00:00,1,70664.81833429316,70740.69,0.005092332899701508
2024-06-04 16:00:00,-1,70034.94452941399,70538.4,0.002859598909764778
2024-06-04 17:00:00,1,71126.65802593401,70698.99,0.0022766323024056554
2024-06-04 18:00:00,-1,69866.3413101613,70436.58,0.003711651326277836
2024-06-04 19:00:00,1,70608.5312820592,70419.75,-0.00023893834709183418
2024-06-04 20:00:00,1,70957.60943313503,70490.0,0.000997589454662932
2024-06-04 21:00:00,1,70572.17268640624,70578.79,0.0012596112923818072
2024-06-04 22:00:00,1,70582.09182752056,70559.07,-0.00027940405325716997
2024-06-04 23:00:00,1,70894.72734484644,70758.85,0.0028313865247940316
2024-06-05 00:00:00,-1,70689.66442758615,71031.29,-0.0038502604267874304
2024-06-05 01:00:00,1,71116.95169066776,70872.52,-0.002235212115674508
2024-06-05 02:00:00,1,71149.02107417274,70884.49,0.0001688947987174883
2024-06-05 03:00:00,1,71209.18102126314,71197.67,0.004418173848750171
2024-06-05 04:00:00,-1,70639.17135575908,71013.53,0.0025863205916710394
2024-06-05 05:00:00,-1,70998.43048636512,71080.34,-0.0009408066322009013
2024-06-05 06:00:00,1,71597.71259421222,71269.21,0.0026571341667753685
2024-06-05 07:00:00,1,71279.91647591109,70931.47,-0.004738932843509914
2024-06-05 08:00:00,-1,70779.61833076274,70896.8,0.0004887816366980446
2024-06-05 09:00:00,-1,70726.65185861268,70859.34,0.0005283736360457228
2024-06-05 10:00:00,1,71225.41333594534,71008.07,0.0020989470124899625
2024-06-05 11:00:00,-1,70580.51651346295,70998.86,0.00012970356749600998
2024-06-05 12:00:00,-1,70618.6844468303,70756.95,0.0034072378063535595
2024-06-05 13:00:00,1,71404.352203743,70881.2,0.001756011246951713
2024-06-05 14:00:00,1,71387.15997014772,71594.98,0.010070089106843547
2024-06-05 15:00:00,-1,70960.89109240887,71338.82,0.003577904484364532
2024-06-05 16:00:00,1,71713.22959656248,71604.36,0.0037222370653172223
2024-06-05 17:00:00,-1,71160.98919730085,71121.2,0.006747633803304763
2024-06-05 18:00:00,1,71376.63742063635,71331.79,0.002961001782872006
2024-06-05 19:00:00,-1,71065.66231714001,71193.58,0.0019375652847067467
2024-06-05 20:00:00,1,71530.72402302957,71131.45,-0.0008726910488277827
2024-06-05 21:00:00,1,71180.4221546547,71178.07,0.0006554062935594579
2024-06-05 22:00:00,-1,70962.11296993843,71111.73,0.0009320286430920514
2024-06-05 23:00:00,-1,71045.98985299708,71000.0,0.0015711894507417542
2024-06-06 00:00:00,1,71734.19672526099,71172.12,0.0024242253521126107
2024-06-06 01:00:00,1,71332.82370797949,71182.2,0.00014162849160600735
2024-06-06 02:00:00,1,71336.85687828675,71120.47,-0.0008672111848186194
2024-06-06 03:00:00,-1,70792.77263788758,71151.79,-0.00044037954192361825
2024-06-06 04:00:00,-1,70852.83462798205,70924.28,0.0031975302378196638
2024-06-06 05:00:00,-1,70777.62732097012,70865.85,0.0008238363505416342
2024-06-06 06:00:00,1,71418.15726544123,71008.82,0.0020174738608229655
2024-06-06 07:00:00,-1,70716.0366459757,70978.66,0.00042473596941905933
2024-06-06 08:00:00,1,70990.91528444778,71005.48,0.0003778600497669642
2024-06-06 09:00:00,-1,70990.06785980173,71059.43,-0.0007598005111717728
2024-06-06 10:00:00,-1,70976.01481790305,71150.0,-0.0012745669364362618
